
Name,Cuisine/Type,Address,Rating,Dine/Takeout,Image URL,Phone,Website
Berrylicious,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Berrylicious,,
Big Apple Smoothie,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Big%20Apple%20Smoothie,,
Blaze Pizza,Various,"White Plains, NY",4.4,Dine-in & Takeout,https://blazepizza.com/wp-content/uploads/2021/07/blaze-pizza-storefront.jpg,(914) 930-3155,https://blazepizza.com
The Blind Pig,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20The%20Blind%20Pig,,
Blockheads,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Blockheads,,
BLT Steak,Various,"White Plains, NY",4.2,Dine-in & Takeout,https://bltrestaurants.com/wp-content/uploads/2020/01/blt-steak-dining-room.jpg,(914) 467-5500,https://bltrestaurants.com
The Brazen Fox,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20The%20Brazen%20Fox,,
Buffalo Wild Wings,Various,"White Plains, NY",3.7,Dine-in & Takeout,https://media.discordapp.net/attachments/911418267197808640/916515443756900352/buffalo-wild-wings-store.jpg,(914) 385-9453,https://www.buffalowildwings.com
Cantina Taco & Tequila Bar,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Cantina%20Taco%20%26%20Tequila%20Bar,,
Caribbean Thyme Restaurant,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Caribbean%20Thyme%20Restaurant,,
Chatters Bar & Grill,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Chatters%20Bar%20%26%20Grill,,
China Garden,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20China%20Garden,,
Chipotle Mexican Grill,Various,"White Plains, NY",3.8,Dine-in & Takeout,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/bb0ff7e5a099880304b0780ef4232a36e652a685-2240x1260.jpg,(914) 948-4826,https://locations.chipotle.com
Chen’s Poké,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Chen%E2%80%99s%20Pok%C3%A9,,
Chop & Go,Asian Fusion,"258 Main St, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Chop%20%26%20Go,914-831-0525,
Cold Stone Creamery,Various,"White Plains, NY",4.9,Dine-in & Takeout,https://www.coldstonecreamery.com/assets/img/cold-stone-storefront.jpg,(914) 220-0160,https://www.coldstonecreamery.com
Coliseum,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Coliseum,,
D’Amore Café & Deli,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20D%E2%80%99Amore%20Caf%C3%A9%20%26%20Deli,,
David King Chinese Cuisine & Sushi,Chinese & Sushi,"128 Mamaroneck Ave, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20David%20King%20Chinese%20Cuisine%20%26%20Sushi,914-948-9290,
Delicias del Jireh,Peruvian,"206 Mamaroneck Ave, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Delicias%20del%20Jireh,914-437-5375,
Don Coqui,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Don%20Coqui,,
Dunkin’ Donuts,Various,"White Plains, NY",3.4,Dine-in & Takeout,https://corporate.dunkinbrandscuid.com/var/dunkinbrand/storage/images/_aliases/media_gallery_large/0/3/5/3/15350-1-eng-US/dd_exterior.jpg,(914) 644-8358,https://locations.dunkindonuts.com/en/ny/white-plains/570-mamaroneck-ave
Fair Deal Café,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Fair%20Deal%20Caf%C3%A9,,
Famous Famiglia,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Famous%20Famiglia,,
Five Guys Burgers and Fries,Various,"White Plains, NY",3.9,Dine-in & Takeout,https://fiveguys.com/-/media/five-guys/home-page-new/storefront.jpg,(914) 618-3334,https://restaurants.fiveguys.com
Fogo de Chão Brazilian Steakhouse,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Fogo%20de%20Ch%C3%A3o%20Brazilian%20Steakhouse,,
Freckles Juice,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Freckles%20Juice,,
Freebird Kitchen and Bar,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Freebird%20Kitchen%20and%20Bar,,
Freshii,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Freshii,,
Gaucho Burger Company,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Gaucho%20Burger%20Company,,
Golden Wok Chinese Cuisine,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Golden%20Wok%20Chinese%20Cuisine,,
Graziella’s Italian Bistro,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Graziella%E2%80%99s%20Italian%20Bistro,,
Gyu-Kaku Japanese BBQ,Japanese BBQ,"159 Main St, White Plains, NY 10601",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Gyu-Kaku%20Japanese%20BBQ,914-358-5206,https://www.gyu-kaku.com
Hard Luck Poolhall Bar & Lounge,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Hard%20Luck%20Poolhall%20Bar%20%26%20Lounge,,
Haiku,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Haiku,,
Hastings Tea & Coffee Lounge,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Hastings%20Tea%20%26%20Coffee%20Lounge,,
Holy Crab,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Holy%20Crab,,
Hudson Grille,Contemporary American,"165 Mamaroneck Ave, White Plains, NY 10601",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Hudson%20Grille,914-997-2000,https://hudsongrilleny.com
Ichiro Modern Japanese & Bar,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Ichiro%20Modern%20Japanese%20%26%20Bar,,
Inca Gaucho Restaurant,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Inca%20Gaucho%20Restaurant,,
The Iron Tomato,Italian Deli,"57 Mamaroneck Ave, White Plains, NY 10601",4.5,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20The%20Iron%20Tomato,914-328-9400,
John’s Continental Food Service,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20John%E2%80%99s%20Continental%20Food%20Service,,
The Juice Lab,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20The%20Juice%20Lab,,
Kanopi,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Kanopi,,
Karamba Café Restaurant,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Karamba%20Caf%C3%A9%20Restaurant,,
KEE Oyster House,Various,"White Plains, NY",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20KEE%20Oyster%20House,,
La Bocca Ristorante,Italian,"8 Church Street, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20La%20Bocca%20Ristorante,914-948-3281,https://www.laboccaristorante.com
Lazy Boy Saloon & Ale House,Pub / American,"154 Mamaroneck Ave, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Lazy%20Boy%20Saloon%20%26%20Ale%20House,914-761-0272,
Lilly’s,New American / Bar,"169 Mamaroneck Ave, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Lilly%E2%80%99s,914-997-5600,https://lillyswp.com
Little Drunken Chef,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Little%20Drunken%20Chef,,
The Lobby Lounge at the Ritz-Carlton,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20The%20Lobby%20Lounge%20at%20the%20Ritz-Carlton,,
Main Street Gourmet Deli & Grill,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Main%20Street%20Gourmet%20Deli%20%26%20Grill,,
Mamma Rosa’s Sons Italian Deli,Italian Deli,"205 E Post Rd, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Mamma%20Rosa%E2%80%99s%20Sons%20Italian%20Deli,914-997-0418,
Mario’s Pizza & Restaurant,Pizza / Italian,"118 Mamaroneck Ave, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Mario%E2%80%99s%20Pizza%20%26%20Restaurant,914-761-7829,
Martine Gourmet Deli,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Martine%20Gourmet%20Deli,,
Mediterraneo,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Mediterraneo,,
The Melting Pot,Fondue / American,"30 Mamaroneck Ave, White Plains, NY 10601",4.5,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20The%20Melting%20Pot,914-993-6358,https://www.meltingpot.com
Mistura,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Mistura,,
Morton’s The Steakhouse,Steakhouse,"5 Mamaroneck Ave, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Morton%E2%80%99s%20The%20Steakhouse,914-683-6101,https://www.mortons.com/white-plains
Mulino’s of Westchester,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Mulino%E2%80%99s%20of%20Westchester,,
Nicky’s Pizzeria & Restaurant,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Nicky%E2%80%99s%20Pizzeria%20%26%20Restaurant,,
Noodle+,Asian,"245 Main St, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Noodle%2B,914-948-4950,
Pantojarse Restaurant & Bakery,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Pantojarse%20Restaurant%20%26%20Bakery,,
Purple Corn,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Purple%20Corn,,
Ron Blacks Beer Hall,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Ron%20Blacks%20Beer%20Hall,,
Serafina,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Serafina,,
Shiki Sushi & Yakitori,Japanese,"187 Main St, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Shiki%20Sushi%20%26%20Yakitori,914-288-0070,
ShopRite,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20ShopRite,,
Social Circle Restaurant Bar & Lounge,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Social%20Circle%20Restaurant%20Bar%20%26%20Lounge,,
Starbucks,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Starbucks,,
Sundance Kitchen & Cantina,Mexican,"208 Mamaroneck Ave, White Plains, NY 10601",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Sundance%20Kitchen%20%26%20Cantina,914-946-2300,
Sunset Restaurant & Bar,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Sunset%20Restaurant%20%26%20Bar,,
TGI Fridays,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20TGI%20Fridays,,
T-swirl Crêpe,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20T-swirl%20Cr%C3%AApe,,
Turkish Cuisine,Turkish / Mediterranean,"116 Mamaroneck Ave, White Plains, NY 10601",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Turkish%20Cuisine,914-683-6111,https://www.turkishcuisinewestchester.com
TVB by Pax Romana,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20TVB%20by%20Pax%20Romana,,
Via Garibaldi,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Via%20Garibaldi,,
Via Veneto 26,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Via%20Veneto%2026,,
Vintage Lounge & Restaurant,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Vintage%20Lounge%20%26%20Restaurant,,
Walter’s Hot Dogs,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Walter%E2%80%99s%20Hot%20Dogs,,
Whiskey Lounge,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Whiskey%20Lounge,,
Wolf & Warrior Brewing Company,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Wolf%20%26%20Warrior%20Brewing%20Company,,
Z Prime Italian Steakhouse,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Z%20Prime%20Italian%20Steakhouse,,
TRE Angelina,Italian,"478 Mamaroneck Ave, White Plains, NY 10605",4.5,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20TRE%20Angelina,914-686-0617,
Royal Palace Cuisines,Indian,"77 Knollwood Rd, White Plains, NY 10607",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Royal%20Palace%20Cuisines,914-289-1988,https://royalpalaceny.com
La Bocca,Italian,"8 Church Street, White Plains, NY 10601",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20La%20Bocca,914-948-3281,https://www.laboccaristorante.com
Lombardo's Pizza and Pasta,Various,"White Plains, NY",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Lombardo%27s%20Pizza%20and%20Pasta,,
Haiku Lounge & Restaurant,Various,"White Plains, NY",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Haiku%20Lounge%20%26%20Restaurant,,
North Street Tavern & Wood Fired Pizza,American / Pizza,"1128 North St, White Plains, NY 10605",4.0,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20North%20Street%20Tavern%20%26%20Wood%20Fired%20Pizza,914-437-7111,
